Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
277;Markieff Morris;PF;33;BRK;2;0;11;1;2.5;0.4;1;2;0.5;0;0.5;0;0.6;0;0;0;0.5;1.5;2;0;0;0.5;0.5;1.5;3
278;Monte Morris;PG;27;WAS;5;5;27;3.2;7.6;0.421;1.2;2.8;0.429;2;4.8;0.417;0.5;1;1.6;0.625;0.6;3.6;4.2;6.6;0.6;0.4;0.6;1.6;8.6
279;Trey Murphy III;SF;22;NOP;5;2;30.6;5.2;8.8;0.591;3.2;5.2;0.615;2;3.6;0.556;0.773;1.4;1.6;0.875;1.4;4.8;6.2;1;1.2;0.2;1.2;3.2;15
280;Dejounte Murray;SG;26;ATL;5;5;37.6;8;17.8;0.449;1.8;5.2;0.346;6.2;12.6;0.492;0.5;2;2.4;0.833;0.8;6;6.8;7.6;2.4;0.8;2.6;1.2;19.8
281;Jamal Murray;PG;25;DEN;5;5;25.6;5;12.2;0.41;1.4;4.6;0.304;3.6;7.6;0.474;0.467;1;1.8;0.556;0.2;2.4;2.6;2.8;1.2;0;2.4;0.6;12.4
282;Keegan Murray;SF;22;SAC;3;1;36.7;6.7;13;0.513;3.3;8;0.417;3.3;5;0.667;0.641;1;1;1;1.7;3.3;5;0.7;0.3;0.7;2;2;17.7
283;Mike Muscala;C;31;OKC;5;0;13.4;3.2;5.6;0.571;1;2.8;0.357;2.2;2.8;0.786;0.661;1.4;1.6;0.875;1.2;4.6;5.8;1;0;0.4;0.2;1.2;8.8
284;Svi Mykhailiuk;SF;25;NYK;1;0;2;1;1;1;1;1;1;0;0;0;1.5;0;0;0;0;2;2;0;0;0;0;0;3
285;Larry Nance Jr.;PF;30;NOP;5;0;20.6;3.2;5.8;0.552;0.2;0.8;0.25;3;5;0.6;0.569;0;0.2;0;1.4;2.6;4;2.2;0.4;0.8;1.2;2;6.6
286;Andrew Nembhard;SG;23;IND;5;0;17.2;2.4;5.4;0.444;1.4;3.4;0.412;1;2;0.5;0.574;0.4;0.4;1;0.4;1.6;2;2.8;0.6;0;0.4;1.6;6.6
